fr,en
Le médicament / paquet de médicaments sélectionné n'est pas utilisé pour traiter la maladie sélectionnée,The drug/drug package selected is not used in treatment for the disease selected
"Le jeu de données sélectionné ne correspond pas à la toute dernière version des résultats du Coverage Survey Builder. Veuillez copier-coller l'adresse URL suivante (https://www.ntdsupport.org/resources/coverage-survey-builder-coverage-evaluations) dans votre navigateur, ou utiliser le modèle fourni dans ce site Web.","Dataset uploaded does not match the most recent version of the Coverage Survey Builder output. Please copy and paste the following URL (https://www.ntdsupport.org/resources/coverage-survey-builder-coverage-evaluations) into your browser, or utilize the template provided on this website."
Une ou plusieurs des sous-unité(s) indique que le nombre de femmes à qui le médicament a été proposé est supérieur au nombre de femmes interrogées,One or more of the subunits has more females offered the drug than interviewed
Une ou plusieurs des sous-unité(s) indique que le nombre de femmes ayant avalé le médicament est supérieur au nombre de femmes interrogées,One or more of the subunits has more females swallowing the drug than interviewed
Une ou plusieurs des sous-unité(s) indique que le nombre de femmes ayant avalé le médicament est supérieur au nombre de femmes à qui le médicament a été proposé,One or more of the subunits has more females swallowing the drug than offered
Une ou plusieurs des sous-unité(s) indique que le nombre d'hommes à qui le médicament a été proposé est supérieur au nombre d'hommes interrogés,One or more of the subunits has more males offered the drug than interviewed
Une ou plusieurs des sous-unité(s) indique que le nombre d'hommes ayant avalé le médicament est supérieur au nombre d'hommes interrogés,One or more of the subunits has more males swallowing the drug than interviewed
Une ou plusieurs des sous-unité(s) indique que le nombre d'hommes ayant avalé le médicament est supérieur au nombre d'hommes à qui le médicament a été proposé,One or more of the subunits has more males swallowing the drug than offered
Le médicament / paquet de médicaments sélectionné n'est pas utilisé pour traiter la maladie sélectionnée,The drug/drug package selected is not used in treatment for the disease selected
Un valeur non numérique ou un espace vide apparaît dans le champ où une valeur numérique est prévue. Veuillez passer en revue votre fichier pour vous assurer qu'il n'y a pas d'erreurs.,There is a non-numeric or blank value where a numeric value is expected. Please look through your file to check for an error.
Atteint ou dépasse,Meets or Exceeds
le seuil fixé à 65 %,the Target 65% Threshold
le seuil fixé à 75 %,the Target 75% Threshold
le seuil fixé à 80 %,the Target 80% Threshold
Nombre de personnes interrogées ayant reporté que le médicament leur a été proposé,Proportion of respondents who reported being offered
Porté du programme estimé en fonction du sexe,Estimated Programme Reach by Gender
Seuil de,WHO
couverture,Target
cible,Coverage
de l'OMS,Threshold
le médicament,drug
Nombre de personnes interrogées ayant reporté avoir avalé,Proportion of respondents who reported swallowing
Couverture de l'étude estimée en fonction du sexe,Estimated Survey Coverage by Gender
"Total, Hommes, Femmes","Overall, Male, Female"
"Interrogés, Ayant avalé, Sous-unité","Interviewed, Swallowed, Subunit"
Groupe,Cluster
Tracé de la couverture de l'étude par la sous-unité : Zone de couverture par ordre décroissant,Plot of Survey Coverage by Subunit: Greatest to Least Coverage
Sommaire des résultats d'évaluation de la couverture :,Coverage Evaluation Results Summary:
"ce sommaire passe en revue les résultats des études d'évaluation de la couverture des [médicaments] réalisées à [Unité de mise en œuvre], en [Pays]","This summary reviews the results from coverage evaluation surveys for [drug] that were conducted in [IU], [Country]"
Termes clés,Key Terms
"Couverture rapportée : couverture calculée à partir des données rapportées par tous les distributeurs de médicaments, en utilisant les données du recensement ou les rapports des distributeurs de médicaments pour estimer le dénominateur de la population.","Reported Coverage - The coverage calculated from data reported by all drug distributors, with census figures or drug distributor reports used to estimate the population denominator."
couverture de l'étude : couverture estimée à partir de méthodes d'échantillonnage d'étude basée sur la population. Le dénominateur correspond au nombre total de personnes interrogées ; le numérateur correspond au nombre total de personnes interrogées reportées comme ayant ingéré le médicament.,Survey Coverage - Coverage estimated through the use of population-based survey sampling methods. The denominator is the total number of individuals Survey and the numerator is the total number of individuals Survey who were identified as having ingested the drug.
"Portée du programme : le pourcentage de personnes au sein de la zone de recensement à qui le traitement par chimiothérapie a été proposé, indépendamment de l'ingestion ou non du médicament.","Programme Reach - The proportion of people in the survey area who were given the opportunity to receive the preventive chemotherapy, regardless of whether the drug was ingested."
Conformité : pourcentage des personnes au sein de la zone de recensement à qui le médicament a été proposé et qui ont effectivement avalée ledit médicament.,Compliance - The proportion of people in the survey area who are offered the drug that also swallow the drug.
"Unité de mise en œuvre : zone d'étude désignée. Les études de couverture sont généralement menées au niveau du district ; toutefois, dans certains cas, elles peuvent être réalisées au niveau de la province, du pays ou de la zone concernée. ","Implementation Unit (IU) - Designated survey areas. Coverage surveys are typically conducted at the district level; however, in some cases they may be done at the province, county, or zonal level."
Tableau 1. Résultats de couverture de l'étude pour [unité de mise en œuvre],Table 1. Survey coverage results for [IU]
"« Unité de mise en œuvre », « Couverture rapportée », « Couverture de l'étude », « Intervalle de confiance inférieur de 95 % », « Intervalle de confiance supérieur de 95 % », « Effet du plan », « Portée du programme »","""Implementation Unit"", ""Reported Coverage"",""Survey Coverage"", ""Lower 95% Confidence Interval"", ""Upper 95% Confidence Interval"", ""Design Effect"", ""Programme Reach"""
VALIDATION DE LA COUVERTURE RAPPORTÉE,VALIDATION OF REPORTED COVERAGE
"Si l'écart entre la ouverture rapportée et la couverture de l'étude n'est pas significative, ou si les deux chiffres sont relativement proches (les résultats sont indiqués en vert), on considère que la couverture de l'étude « valide » la couverture rapportée.","When there is no significant difference between the reported and survey coverage, or when the two figures are relatively close (indicated by the colors in green) then the survey coverage is considered to “validate” the reported coverage."
"Tableau 2. L'interprétation des résultats de couverture de l'étude permet de déterminer si la couverture de l'étude valide la couverture rapportée et si le seuil cible est atteint dans chacune des unités de mise en œuvre [pays]. La couleur des cellules indique si une action programmatique est requise (Vert = sur la bonne voie, aucune intervention requise ; Jaune = attention, des améliorations peuvent s'avérer nécessaires ; Rouge = insuffisance, une intervention est requise).","Table 2. Interpretation of survey coverage results to determine if the survey coverage validates the reported coverage and whether the target threshold is met by each IU, [Country]. The coloring of the cells indicates whether programmatic action is required (Green = on track, no action required; Yellow = caution, improvements can be made; Red = inadequate, action is required)."
Oui ; la couverture de l'étude valide la couverture rapportée,Yes; survey coverage validates reported coverage
Oui ; la couverture de l'étude et la couverture rapportée sont similaires,Yes; survey and reported coverage are similar
